meh	0	*	James, your definition of sycophant would aptly apply to Obama's cabinet, which was filled with like travelers to the then president.  What's interesting is that we both have the same fears towards different presidents.
meh	0	*	Honorable man for sure. He's your father and i didnt know him obviously. But did he know these young, grossly overpaid punks would be thumbing their noses at the flag he fought for? And was he OK with that?  My son, my brother, my late father and a bro-in-law all are not ok with that!! All have served or are still serving. Most vets understand its the average citizen's right to protest, to speak freely; and that's the rights they fight for but they do NOT agree with some misguided spoiled millionaires not paying respect for those who bled and died. And for what reason?? Oh thats right- the cops harrassed you because you were out drinking and driving and up to no good at 4:30 in the morning in your Mercedes. Guarantee you any NFL player that ever served would NOT be ok with it.
meh	0	*	News is changing a lot .  News is obsessed with Trump and I don't bother with flaky Trudo. Some of the news resembles facebook. I have to find another interesting item.
meh	0	*	You can keep your doctor.
meh	0	*	While it is true that the Greens only won 3 seats, they did win nearly 17% of the vote, which is a significant constituency. Moreover, about 56% of British Columbians voted for parties opposed to the Site C dam and Kinder Morgan, so there strong support for those measures. As for proportional representation, the previous referenda were on a kind of instant-run-off balloting system, not PR; so we certainly cannot say that BC ever rejected PR.
meh	0	*	I agree entirely and have two school age kids - one of whom can generally eat 4 pieces of pizza unless constrained (and not the super cheesy kind).  He also runs everywhere and is likely to go flying into any wall pretending to catch a fly ball like Kevin Pillar.  I really don't know what's gotten into people nowadays but let the kids eat and play.
meh	0	*	Another issue that has been ignored is the unfair or inequitable treatment of homeowners and other asset owners regarding income on capital gains. In a logical world all income would be taxed the same. This would include salaries, capital gains on home sales, professional income, and capital gains on stock or other asset sales. This would go a long way to take some of the heat out of the real estate and stock markets, as both are inflated assets (aka bubbles). But if one wishes to maintain the capital gains exemptions on homes, it could be made more equal if it was a once in a lifetime thing and it was only for the average value of a home in Canada at the time of the claim, so the playing field was more equitable or equal. Increasing the holding period from one year to a five year minimum, with the holder being required to have paid personal income tax in Canada for that period might also help. These are all understandable and addressable issues.
meh	0	*	No hon..it is the truth passionately stated.
meh	0	*	"How does Kuschner make any difference in the end game? Ever get the feeling we are at war with our own government? Is the Deep State more interested in bringing down the President than ISIS? Is the FBI and other agency's now political machines leaking secret's that jeopardize our ability to fight terrorism?  The current hysteria afflicting our nation reminds me of my quandary. I dislike my step mother intensely. Its hard to stomach her however Ive come to realize Dad loves her. So, in the interest of ""family"" Im making the ultimate sacrifice for me. Faking it. My daily mantra ........""this to will pass"".  Now we have an anti-propaganda agency lead by Bannon. Undoubtedly making use of ""unidentified sources"" to hype push back on the latest conspiracy theory. First duty, unspin the Kuschner Russian ""secret communication"" inquiry. I can envision the entire Government grid locked investigating each other. Is this ""resistance"" or dysfunctional behavior? Time will tell."
meh	0	*	"Bernie will spare his opponent the ""crucible of sordid and scandalous accusations"". He will win the Democratic nomination."
